Id,M,Category,Shift,a_A1,a_A2,a_A3,a_A4,a_B1,a_B2,a_B3,a_B4,a_B5,a_B6,a_B7,a_C1,a_C2,a_C3,a_C4,a_D1,a_D2,a_D3,a_D4,b_C1,b_C2,b_C3,b_C4,LT_A,LT_AA,LT_B,LT_C,LT_D,LT_FA,LT_Plant,LeanBuffer,Out,WIP_A,WIP_AA,WIP_B,WIP_C,WIP_D,WIP_FA,WaitingParts,maxOut,minLT_Plant,minLeanBuffer,minWaitingParts,max_Out,min_LB,min_LTPlant,min_WaitingParts
17134,false,Cluster_2,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,15.0,1.0,1.0,4.0,5.0,19.0,1.0,3.0,1.0,3.0,1.0,1376.0,576.0,32.0,32.0,16.12919636,5.010806298,17.43499482,14.93652638,22.39313312,13.40822995,40.81216937,8283.5,37877.0,1220.75,151.0,1828.75,1388.25,2590.75,1104.0,184167.5,37877.0,40.8,8283.5,51.2,37877.0,8283.5,40.8,51.2
17158,false,Cluster_4,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,15.0,1.0,1.0,2.0,1.0,9.0,1.0,3.0,1.0,1.0,1.0,960.0,576.0,96.0,32.0,20.48262568,3.651235021,21.30360473,17.84086176,23.29357192,17.51263999,44.45744693,7408.5,38653.75,893.5,60.5,1666.5,1386.0,2414.5,987.5,486915.25,38653.75,44.5,7408.5,135.3,38653.75,7408.5,44.5,135.3
17184,false,Cluster_2,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,3.0,1.0,1.0,1.0,960.0,640.0,32.0,32.0,14.51017196,4.402277392,16.09364996,14.97701567,20.8758456,16.4964957,41.77461869,8474.0,38951.0,1193.0,218.75,1835.75,1309.0,2396.25,1521.25,221073.0,38951.0,41.8,8474.0,61.4,38951.0,8474.0,41.8,61.4
17200,false,Cluster_2,1.0,5.0,9.0,1.0,1.0,2.0,2.0,1.0,1.0,17.0,1.0,1.0,2.0,1.0,11.0,1.0,3.0,1.0,3.0,2.0,1376.0,576.0,32.0,32.0,23.10054202,5.135800439,21.66006912,19.1158277,23.05473095,13.37102638,41.76188966,7834.75,38403.5,1494.75,90.0,1555.0,1628.25,2353.25,713.5,431404.75,38403.5,41.8,7834.75,119.8,38403.5,7834.75,41.8,119.8
17223,false,Cluster_5,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,12.0,1.0,2.0,2.0,1.0,16.0,1.0,2.0,2.0,3.0,1.0,1056.0,928.0,32.0,32.0,9.85070767,3.516011603,12.20314683,14.71792954,18.42645045,15.1071125,37.04957456,8969.0,39087.5,1262.75,263.75,1785.75,1516.25,2461.75,1678.75,133495.25,39087.5,37.0,8969.0,37.1,39087.5,8969.0,37.0,37.1
17230,false,Cluster_4,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,9.0,1.0,3.0,1.0,1.0,1.0,1056.0,576.0,64.0,32.0,19.85898927,4.753906323,21.1043126,16.98874653,22.61614722,17.37811595,44.74816949,7925.0,38999.5,1024.0,70.0,1724.25,1390.0,2537.25,1179.5,443946.0,38999.5,44.7,7925.0,123.3,38999.5,7925.0,44.7,123.3
17232,false,Cluster_3,4.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,16.0,1.0,2.0,1.0,3.0,1.0,1056.0,576.0,32.0,32.0,9.374767803,3.311320492,11.95105426,10.90055216,17.94818202,15.45384684,36.71334935,8356.75,38572.5,1331.0,211.0,1798.5,1074.25,2309.0,1633.0,278854.75,38572.5,36.7,8356.75,77.5,38572.5,8356.75,36.7,77.5
17236,false,Cluster_6,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,3.0,1.0,3.0,1.0,1504.0,224.0,32.0,32.0,12.54826375,2.49734735,14.33163633,11.59082738,20.12005759,15.12496164,37.74236658,7966.0,35150.5,1499.75,104.5,1821.75,1064.5,2373.5,1102.0,662128.5,35150.5,37.7,7966.0,183.9,35150.5,7966.0,37.7,183.9
17252,false,Cluster_3,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,9.0,1.0,5.0,1.0,1.0,1.0,1088.0,576.0,32.0,32.0,9.2818395,2.917499683,11.69453853,10.64728249,18.28952094,15.91021651,37.11723713,8501.75,39348.5,1307.5,179.5,1788.25,1055.75,2245.5,1925.25,296600.25,39348.5,37.1,8501.75,82.4,39348.5,8501.75,37.1,82.4
17264,false,Cluster_3,4.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,15.0,1.0,2.0,1.0,1.0,9.0,1.0,4.0,1.0,1.0,1.0,1376.0,736.0,32.0,32.0,9.941885919,3.65849052,12.19211772,11.70125902,18.20881142,15.12036664,36.98766858,8526.75,38604.0,1327.25,228.5,1790.75,1292.0,2323.25,1565.0,198683.0,38604.0,37.0,8526.75,55.2,38604.0,8526.75,37.0,55.2
17267,false,Cluster_4,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,12.0,1.0,1.0,4.0,1.0,11.0,1.0,3.0,1.0,1.0,1.0,1056.0,576.0,64.0,32.0,18.96607643,4.296069434,19.9666077,16.28042457,23.36559506,18.72346024,46.38512473,7937.5,39347.75,891.75,67.5,1679.75,1375.75,2384.0,1538.75,479615.75,39347.75,46.4,7937.5,133.2,39347.75,7937.5,46.4,133.2
17272,false,Cluster_6,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,3.0,1.0,1.0,1.0,1504.0,256.0,32.0,32.0,17.54495168,2.69539418,18.78037796,15.03790352,23.49936494,14.34005426,40.53481338,7867.25,35279.25,1427.5,119.75,1850.25,1227.5,2390.0,852.25,498127.25,35279.25,40.5,7867.25,138.4,35279.25,7867.25,40.5,138.4
17283,false,Cluster_2,1.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,15.0,1.0,1.0,2.0,1.0,19.0,1.0,6.0,5.0,1.0,1.0,1376.0,608.0,32.0,32.0,19.95338825,6.67496684,21.06299341,18.28776976,22.63690452,18.11384008,47.42571144,8111.25,39141.25,930.0,139.75,1573.75,1862.25,2350.75,1254.75,392916.0,39141.25,47.4,8111.25,109.1,39141.25,8111.25,47.4,109.1
17295,false,Cluster_5,4.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,16.0,1.0,2.0,1.0,3.0,1.0,1056.0,960.0,32.0,32.0,9.961288131,3.877405723,12.28014234,15.44768013,17.87005712,15.09153554,36.83899838,9028.75,38854.25,1287.0,269.75,1783.5,1522.5,2547.25,1618.75,111776.75,38854.25,36.8,9028.75,31.0,38854.25,9028.75,36.8,31.0
17300,false,Cluster_5,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,15.0,1.0,2.0,2.0,1.0,20.0,1.0,2.0,6.0,3.0,1.0,864.0,992.0,32.0,32.0,9.473627598,3.725697411,11.70468039,14.33889886,18.28014803,16.59232505,38.5981705,9192.75,39500.0,1300.25,197.5,1785.0,1614.75,2326.25,1969.0,93205.25,39500.0,38.6,9192.75,25.9,39500.0,9192.75,38.6,25.9
17312,false,Cluster_3,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,15.0,1.0,2.0,1.0,1.0,19.0,1.0,4.0,1.0,3.0,1.0,992.0,608.0,32.0,32.0,8.377541579,3.318996104,10.95593638,10.65304333,17.18027535,15.47054864,35.96982009,8690.0,39329.0,1339.25,201.75,1784.25,1117.0,2355.5,1892.25,255464.0,39329.0,36.0,8690.0,71.0,39329.0,8690.0,36.0,71.0
17313,false,Cluster_3,4.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,16.0,1.0,2.0,1.0,3.0,1.0,1056.0,448.0,32.0,32.0,10.88557529,2.771350995,13.15525595,11.02563605,18.78951452,15.23240624,36.79327175,8140.0,37705.25,1359.5,177.5,1786.25,1062.5,2364.75,1389.5,396346.5,37705.25,36.8,8140.0,110.1,37705.25,8140.0,36.8,110.1
