Iteration;Investment;TP;LeanBuffer;B1;B2;S1;A1;A2;A3;A4;A5;S2;PartsProduced;Throughput;LeadTime;WIP;InvB1;InvB2;InvFastMachine;InvA1;InvA2;InvA3;InvA4;InvA5;InvMultiPurpose;Rank;
36;190000;0,822222222222222;17;10;7;1;91;93;90;94;94;1;592;0,822222222222222;92634,2332205601;21,2495044021423;50000;20000;0;10000;30000;0;40000;40000;0;113;
37;120000;0,784444444444445;14;9;5;1;92;92;91;93;90;1;564,8;0,784444444444445;83689,882273689;18,2592911583938;40000;0;0;20000;20000;10000;30000;0;0;89;
38;300000;0,914166666666667;18;9;9;1;92;91;95;90;95;2;658,2;0,914166666666667;80959,7213854179;20,7697687494424;40000;40000;0;20000;10000;50000;0;50000;90000;51;
39;250000;0,903333333333333;15;6;9;1;93;92;94;92;90;2;650,4;0,903333333333333;73219,4105269962;18,5478700701261;10000;40000;0;30000;20000;40000;20000;0;90000;66;
40;220000;0,901944444444444;12;6;6;1;95;90;90;93;93;2;649,4;0,901944444444444;64695,8234899639;16,2859854989449;10000;10000;0;50000;0;0;30000;30000;90000;55;
41;180000;0,786944444444445;13;8;5;1;94;93;92;93;93;1;566,6;0,786944444444445;78670,8335743682;17,2378134246527;30000;0;0;40000;30000;20000;30000;30000;0;117;
42;120000;0,815833333333333;16;8;8;1;91;91;92;91;91;1;587,4;0,815833333333333;88339,8701266052;20,1882918393221;30000;30000;0;10000;10000;20000;10000;10000;0;74;
43;280000;0,901111111111111;20;10;10;1;90;93;90;93;93;2;648,8;0,901111111111111;91001,7984040451;23,051064647782;50000;50000;0;0;30000;0;30000;30000;90000;72;
44;220000;0,8225;16;7;9;1;95;94;93;90;94;1;592,2;0,8225;87857,6663650867;20,2415519946506;20000;40000;0;50000;40000;30000;0;40000;0;113;
45;280000;0,9175;16;8;8;1;92;90;95;92;94;2;660,6;0,9175;73293,1267946974;18,8235693807071;30000;30000;0;20000;0;50000;20000;40000;90000;42;
46;190000;0,836111111111111;16;7;9;1;93;93;92;92;93;1;602;0,836111111111111;86012,463993806;20,1976494062161;20000;40000;0;30000;30000;20000;20000;30000;0;108;
47;290000;0,917777777777778;14;6;8;1;90;95;94;92;95;2;660,8;0,917777777777778;68270,6156546524;17,5559204211139;10000;30000;0;0;50000;40000;20000;50000;90000;41;
48;280000;0,918611111111111;16;8;8;1;92;91;92;95;93;2;661,4;0,918611111111111;73030,0807055413;18,7954989588389;30000;30000;0;20000;10000;20000;50000;30000;90000;38;
49;180000;0,811944444444445;12;6;6;1;95;91;90;95;95;1;584,6;0,811944444444445;71522,9643264579;16,2208749041399;10000;10000;0;50000;10000;0;50000;50000;0;96;
50;250000;0,808333333333333;19;9;10;1;94;95;90;95;92;1;582;0,808333333333333;101933,026337748;23,1637516071209;40000;50000;0;40000;50000;0;50000;20000;0;117;
51;120000;0,801666666666667;11;5;6;1;94;93;90;92;92;1;577,2;0,801666666666667;68495,3772777564;15,3261744112742;0;10000;0;40000;30000;0;20000;20000;0;55;
52;280000;0,918611111111111;16;8;8;1;92;91;92;95;93;2;661,4;0,918611111111111;73030,0807055413;18,7954989588389;30000;30000;0;20000;10000;20000;50000;30000;90000;38;
53;110000;0,806944444444444;13;7;6;1;91;92;92;93;90;1;581;0,806944444444444;76414,7047486705;17,2445326375752;20000;10000;0;10000;20000;20000;30000;0;0;63;
54;140000;0,804166666666667;10;5;5;1;92;91;93;94;94;1;579;0,804166666666667;63194,7492461995;14,157987079397;0;0;0;20000;10000;30000;40000;40000;0;83;
55;320000;0,9275;11;5;6;1;95;93;94;95;95;2;667,8;0,9275;58638,094617604;15,1942624917821;0;10000;0;50000;30000;40000;50000;50000;90000;15;
56;210000;0,891666666666667;11;5;6;1;94;93;91;92;91;2;642;0,891666666666667;61873,8949878841;15,4090005690853;0;10000;0;40000;30000;10000;20000;10000;90000;66;
57;170000;0,844166666666667;16;7;9;1;91;95;93;90;92;1;607,8;0,844166666666667;85643,0820895786;20,2429027653676;20000;40000;0;10000;50000;30000;0;20000;0;102;
58;180000;0,811944444444445;12;6;6;1;95;91;90;95;95;1;584,6;0,811944444444445;71522,9643264579;16,2208749041399;10000;10000;0;50000;10000;0;50000;50000;0;96;
59;110000;0,835555555555555;15;5;10;1;90;91;90;90;95;1;601,6;0,835555555555555;80780,7459045377;18,9776395629754;0;50000;0;0;10000;0;0;50000;0;43;
60;200000;0,893333333333333;15;5;10;1;90;92;92;91;91;2;643,2;0,893333333333333;73745,501987954;18,4937578989558;0;50000;0;0;20000;20000;10000;10000;90000;77;
61;260000;0,904166666666666;16;8;8;1;90;94;95;90;92;2;651;0,904166666666666;77840,6176059263;19,7267561094804;30000;30000;0;0;40000;50000;0;20000;90000;65;
62;170000;0,827222222222222;14;7;7;1;92;91;95;95;90;1;595,6;0,827222222222222;78405,4280674868;18,11997528442;20000;20000;0;20000;10000;50000;50000;0;0;106;
63;270000;0,908333333333333;13;5;8;1;95;93;93;92;92;2;654;0,908333333333333;67642,2826975289;17,1874725215561;0;30000;0;50000;30000;30000;20000;20000;90000;55;
64;290000;0,917777777777778;14;6;8;1;90;95;94;92;95;2;660,8;0,917777777777778;68270,6156546524;17,5559204211139;10000;30000;0;0;50000;40000;20000;50000;90000;41;
65;220000;0,901944444444444;12;6;6;1;95;90;90;93;93;2;649,4;0,901944444444444;64695,8234899639;16,2859854989449;10000;10000;0;50000;0;0;30000;30000;90000;55;
66;300000;0,917222222222222;12;7;5;1;95;93;95;91;95;2;660,4;0,917222222222222;63957,0952309978;16,3634564732765;20000;0;0;50000;30000;50000;10000;50000;90000;41;
67;190000;0,824722222222222;12;5;7;1;94;95;93;95;90;1;593,8;0,824722222222222;70663,6704795149;16,3209601087501;0;20000;0;40000;50000;30000;50000;0;0;95;
68;250000;0,903333333333333;15;6;9;1;93;92;94;92;90;2;650,4;0,903333333333333;73219,4105269962;18,5478700701261;10000;40000;0;30000;20000;40000;20000;0;90000;66;
69;300000;0,92;14;5;9;1;92;93;93;95;94;2;662,4;0,92;67361,6096060228;17,3736909537583;0;40000;0;20000;30000;30000;50000;40000;90000;38;
70;270000;0,914444444444444;14;9;5;1;93;91;94;94;92;2;658,4;0,914444444444444;70973,6465361602;18,1093485673843;40000;0;0;30000;10000;40000;40000;20000;90000;48;
71;240000;0,8525;20;10;10;1;90;95;93;94;92;1;613,8;0,8525;100943,263745148;24,0899881735547;50000;50000;0;0;50000;30000;40000;20000;0;108;
72;420000;0,925555555555556;19;10;9;2;90;90;94;95;95;2;666,4;0,925555555555556;79455,0725653243;20,6051091868245;50000;40000;100000;0;0;40000;50000;50000;90000;26;
73;120000;0,815833333333333;16;8;8;1;91;91;92;91;91;1;587,4;0,815833333333333;88339,8701266052;20,1882918393221;30000;30000;0;10000;10000;20000;10000;10000;0;74;
74;130000;0,789444444444445;12;6;6;1;94;95;90;91;91;1;568,4;0,789444444444445;74202,2265294736;16,3623890993023;10000;10000;0;40000;50000;0;10000;10000;0;85;
75;120000;0,784444444444445;14;9;5;1;92;92;91;93;90;1;564,8;0,784444444444445;83689,882273689;18,2592911583938;40000;0;0;20000;20000;10000;30000;0;0;89;
76;380000;0,920277777777778;16;10;6;1;95;95;95;93;95;2;662,6;0,920277777777778;79072,2664739988;20,3352844898006;50000;10000;0;50000;50000;50000;30000;50000;90000;42;
77;170000;0,820555555555556;17;9;8;1;92;91;94;91;92;1;590,8;0,820555555555556;92007,7812069551;21,1560217852172;40000;30000;0;20000;10000;40000;10000;20000;0;113;
78;250000;0,897222222222222;15;10;5;1;95;91;90;94;91;2;646;0,897222222222222;77431,0892067302;19,3917194233493;50000;0;0;50000;10000;0;40000;10000;90000;69;
79;280000;0,9175;16;8;8;1;92;90;95;92;94;2;660,6;0,9175;73293,1267946974;18,8235693807071;30000;30000;0;20000;0;50000;20000;40000;90000;42;
80;210000;0,8275;13;6;7;1;94;93;93;94;94;1;595,8;0,8275;74645,7652218272;17,2775970722232;10000;20000;0;40000;30000;30000;40000;40000;0;101;
81;190000;0,799166666666667;14;9;5;1;91;93;95;93;93;1;575,4;0,799166666666667;81752,0887203798;18,1911283256846;40000;0;0;10000;30000;50000;30000;30000;0;118;
82;190000;0,836111111111111;16;7;9;1;93;93;92;92;93;1;602;0,836111111111111;86012,463993806;20,1976494062161;20000;40000;0;30000;30000;20000;20000;30000;0;108;
83;270000;0,8975;19;9;10;1;91;93;91;92;92;2;646,2;0,8975;87975,2289162333;22,2055241691519;40000;50000;0;10000;30000;10000;20000;20000;90000;74;
84;180000;0,826111111111111;15;8;7;1;95;90;94;92;92;1;594,8;0,826111111111111;83472,401001748;19,2561015668854;30000;20000;0;50000;0;40000;20000;20000;0;110;
85;280000;0,904722222222222;14;9;5;1;94;95;90;95;91;2;651,4;0,904722222222222;73477,7603332234;18,5306556444811;40000;0;0;40000;50000;0;50000;10000;90000;64;
86;200000;0,831944444444444;15;8;7;1;92;94;94;93;92;1;599;0,831944444444444;82572,7152979656;19,2002688804489;30000;20000;0;20000;40000;40000;30000;20000;0;109;
87;280000;0,901111111111111;20;10;10;1;90;93;90;93;93;2;648,8;0,901111111111111;91001,7984040451;23,051064647782;50000;50000;0;0;30000;0;30000;30000;90000;72;
88;310000;0,916388888888889;19;10;9;1;91;92;95;95;90;2;659,8;0,916388888888889;85128,6530109388;21,8915487307991;50000;40000;0;10000;20000;50000;50000;0;90000;47;
89;160000;0,784166666666667;13;7;6;1;94;94;90;91;94;1;564,6;0,784166666666667;78768,3171286859;17,2812467599144;20000;10000;0;40000;40000;0;10000;40000;0;116;
90;180000;0,786944444444445;13;8;5;1;94;93;92;93;93;1;566,6;0,786944444444445;78670,8335743682;17,2378134246527;30000;0;0;40000;30000;20000;30000;30000;0;117;
91;220000;0,8225;16;7;9;1;95;94;93;90;94;1;592,2;0,8225;87857,6663650867;20,2415519946506;20000;40000;0;50000;40000;30000;0;40000;0;113;
92;210000;0,835277777777778;18;10;8;1;93;92;95;93;90;1;601,4;0,835277777777778;94993,5042077062;22,2196991893923;50000;30000;0;30000;20000;50000;30000;0;0;109;
93;280000;0,893888888888889;19;9;10;1;95;91;92;90;92;2;643,6;0,893888888888889;91565,3308841884;22,9765075868999;40000;50000;0;50000;10000;20000;0;20000;90000;77;
94;190000;0,822222222222222;17;10;7;1;91;93;90;94;94;1;592;0,822222222222222;92634,2332205601;21,2495044021423;50000;20000;0;10000;30000;0;40000;40000;0;113;
95;300000;0,914166666666667;18;9;9;1;92;91;95;90;95;2;658,2;0,914166666666667;80959,7213854179;20,7697687494424;40000;40000;0;20000;10000;50000;0;50000;90000;51;
96;280000;0,900277777777778;20;10;10;1;93;90;91;91;94;2;648,2;0,900277777777778;91512,9184114631;23,1720827651099;50000;50000;0;30000;0;10000;10000;40000;90000;73;
97;180000;0,78;15;10;5;1;94;95;91;91;92;1;561,6;0,78;88701,3399156895;19,2939252228247;50000;0;0;40000;50000;10000;10000;20000;0;121;
98;240000;0,8125;16;9;7;1;95;95;93;95;90;1;585;0,8125;89382,432633381;20,3127569093834;40000;20000;0;50000;50000;30000;50000;0;0;116;
99;330000;0,897222222222222;20;10;10;1;94;95;95;90;90;2;646;0,897222222222222;95702,3860038337;24,1440464041187;50000;50000;0;40000;50000;50000;0;0;90000;75;
100;250000;0,808333333333333;19;9;10;1;94;95;90;95;92;1;582;0,808333333333333;101933,026337748;23,1637516071209;40000;50000;0;40000;50000;0;50000;20000;0;117;
101;150000;0,849166666666667;14;6;8;1;90;93;93;91;94;1;611,4;0,849166666666667;76472,5684722765;18,1519389797902;10000;30000;0;0;30000;30000;10000;40000;0;90;
102;190000;0,808333333333333;12;6;6;1;94;95;93;95;90;1;582;0,808333333333333;72260,0589304313;16,3211133131314;10000;10000;0;40000;50000;30000;50000;0;0;99;
103;120000;0,800833333333334;11;5;6;1;94;95;90;91;91;1;576,6;0,800833333333334;68930,9254226706;15,371451799044;0;10000;0;40000;50000;0;10000;10000;0;56;
104;70000;0,761388888888889;14;9;5;1;90;92;91;90;90;1;548,2;0,761388888888889;85992,9951447817;18,2288080006989;40000;0;0;0;20000;10000;0;0;0;104;
105;150000;0,823333333333333;16;8;8;1;92;91;92;92;92;1;592,8;0,823333333333333;87683,4970979805;20,2031252024524;30000;30000;0;20000;10000;20000;20000;20000;0;102;
106;230000;0,915833333333333;10;5;5;1;91;93;94;93;93;2;659,4;0,915833333333333;54631,0509467137;13,9541580921393;0;0;0;10000;30000;40000;30000;30000;90000;35;
107;320000;0,921388888888889;14;5;9;1;93;94;94;94;94;2;663,4;0,921388888888889;66900,1633959013;17,2929151989111;0;40000;0;30000;40000;40000;40000;40000;90000;36;
108;260000;0,901111111111111;15;6;9;1;93;92;94;93;90;2;648,8;0,901111111111111;74163,0463053779;18,7578546672762;10000;40000;0;30000;20000;40000;30000;0;90000;70;
109;240000;0,852777777777778;20;10;10;1;90;94;95;93;92;1;614;0,852777777777778;100229,653371322;23,9570550505644;50000;50000;0;0;40000;50000;30000;20000;0;107;
110;180000;0,801666666666667;14;9;5;1;93;91;93;92;95;1;577,2;0,801666666666667;81425,1308116185;18,2053709372836;40000;0;0;30000;10000;30000;20000;50000;0;116;
111;300000;0,915833333333333;15;6;9;1;90;95;94;92;95;2;659,4;0,915833333333333;71080,9389046675;18,2586272540139;10000;40000;0;0;50000;40000;20000;50000;90000;48;
112;250000;0,840555555555556;19;10;9;1;94;94;91;94;93;1;605,2;0,840555555555556;98981,5020656746;23,2776781740711;50000;40000;0;40000;40000;10000;40000;30000;0;108;
113;180000;0,816666666666667;12;5;7;1;94;95;92;95;90;1;588;0,816666666666667;71374,9796868406;16,3107967079026;0;20000;0;40000;50000;20000;50000;0;0;94;
114;210000;0,898611111111111;14;9;5;1;91;92;91;93;91;2;647;0,898611111111111;72308,9847406492;18,17108457767;40000;0;0;10000;20000;10000;30000;10000;90000;67;
115;350000;0,924166666666667;13;5;8;1;95;95;94;94;95;2;665,4;0,924166666666667;65485,975161504;16,9340200864532;0;30000;0;50000;50000;40000;40000;50000;90000;30;
116;200000;0,833333333333333;14;6;8;1;91;95;94;92;94;1;600;0,833333333333333;77894,9780676831;18,1581264289578;10000;30000;0;10000;50000;40000;20000;40000;0;108;
117;320000;0,922777777777778;15;10;5;1;94;91;95;93;95;2;664,4;0,922777777777778;73630,7921335542;18,9619665481459;50000;0;0;40000;10000;50000;30000;50000;90000;32;
118;140000;0,789444444444444;14;9;5;1;91;93;95;91;90;1;568,4;0,789444444444444;82912,4597486355;18,2453616152489;40000;0;0;10000;30000;50000;10000;0;0;102;
119;170000;0,784444444444445;10;5;5;1;93;94;93;94;93;1;564,8;0,784444444444445;64602,8316929498;14,1883976882061;0;0;0;30000;40000;30000;40000;30000;0;116;
120;290000;0,917777777777778;11;6;5;1;94;95;94;91;95;2;660,8;0,917777777777778;59983,2818267141;15,3654879080688;10000;0;0;40000;50000;40000;10000;50000;90000;38;
121;300000;0,901944444444444;16;10;6;1;94;94;93;93;91;2;649,4;0,901944444444444;81196,5425844202;20,4506230427591;50000;10000;0;40000;40000;30000;30000;10000;90000;69;
122;170000;0,803055555555556;12;5;7;1;94;94;93;94;90;1;578,2;0,803055555555556;72350,4921118346;16,251034255777;0;20000;0;40000;40000;30000;40000;0;0;93;
123;270000;0,905277777777778;16;8;8;1;94;90;91;94;93;2;651,8;0,905277777777778;77724,7251822937;19,7258929645778;30000;30000;0;40000;0;10000;40000;30000;90000;65;
124;290000;0,910277777777778;18;10;8;1;91;92;94;94;91;2;655,4;0,910277777777778;82873,6186143708;21,1716919915929;50000;30000;0;10000;20000;40000;40000;10000;90000;59;
125;140000;0,808055555555555;15;8;7;1;91;93;92;91;92;1;581,8;0,808055555555555;84919,7057075831;19,2138474362956;30000;20000;0;10000;30000;20000;10000;20000;0;96;
126;190000;0,826944444444444;14;7;7;1;93;92;93;93;94;1;595,4;0,826944444444444;78404,4145655918;18,175798151764;20000;20000;0;30000;20000;30000;30000;40000;0;110;
127;210000;0,895555555555556;15;5;10;1;90;92;92;91;92;2;644,8;0,895555555555556;71654,681785188;18,0114123782669;0;50000;0;0;20000;20000;10000;20000;90000;75;
128;410000;0,928611111111111;18;10;8;2;90;90;94;95;95;2;668,6;0,928611111111111;75695,5791551246;19,694202729403;50000;30000;100000;0;0;40000;50000;50000;90000;17;
129;270000;0,901111111111111;17;9;8;1;92;93;93;91;92;2;648,8;0,901111111111111;82794,794822399;20,8921358753366;40000;30000;0;20000;30000;30000;10000;20000;90000;71;
130;80000;0,804444444444445;12;6;6;1;94;90;90;92;90;1;579,2;0,804444444444445;72663,4341434769;16,3147637470738;10000;10000;0;40000;0;0;20000;0;0;54;
131;170000;0,846388888888889;12;5;7;1;91;91;94;95;94;1;609,4;0,846388888888889;67596,7536136777;16,023581974701;0;20000;0;10000;10000;40000;50000;40000;0;80;
132;200000;0,823333333333333;13;7;6;1;94;91;92;95;95;1;592,8;0,823333333333333;75120,7161905658;17,2321540158158;20000;10000;0;40000;10000;20000;50000;50000;0;98;
133;310000;0,917777777777778;14;6;8;1;93;94;94;93;94;2;660,8;0,917777777777778;69420,571023218;17,8294029839195;10000;30000;0;30000;40000;40000;30000;40000;90000;42;
134;210000;0,818055555555556;16;8;8;1;90;95;94;94;92;1;589;0,818055555555556;88310,7438205738;20,173115855303;30000;30000;0;0;50000;40000;40000;20000;0;114;
