Iteration;Investment;TP;LeanBuffer;B1;B2;S1;A1;A2;A3;A4;A5;S2;PartsProduced;Throughput;LeadTime;WIP;InvB1;InvB2;InvFastMachine;InvA1;InvA2;InvA3;InvA4;InvA5;InvMultiPurpose;Rank; 
1737;260000;0,922777777777778;10;5;5;1;92;93;94;94;94;2;664,4;0,922777777777778;53947,9033852011;13,8976139105372;0;0;0;20000;30000;40000;40000;40000;90000;15;
1738;300000;0,930555555555556;10;5;5;1;93;94;95;95;94;2;670;0,930555555555556;53450,7089690518;13,8877105903171;0;0;0;30000;40000;50000;50000;40000;90000;7;
1739;280000;0,909444444444444;10;5;5;2;90;90;93;93;93;2;654,8;0,909444444444444;51638,8663897288;13,1083286077996;0;0;100000;0;0;30000;30000;30000;90000;55;
1740;50000;0,775277777777778;11;5;6;1;93;91;90;90;90;1;558,2;0,775277777777778;70677,4472796385;15,2904027086543;0;10000;0;30000;10000;0;0;0;0;66;
1741;90000;0,832222222222222;14;5;9;1;90;92;90;91;92;1;599,2;0,832222222222222;77806,0532225413;18,1188787375804;0;40000;0;0;20000;0;10000;20000;0;25;
1742;180000;0,799166666666667;10;5;5;1;94;92;94;95;93;1;575,4;0,799166666666667;63760,9369507316;14,1977265156067;0;0;0;40000;20000;40000;50000;30000;0;99;
1743;100000;0,839444444444444;16;6;10;1;91;92;90;90;91;1;604,4;0,839444444444444;85845,8429380139;20,2256612027216;10000;50000;0;10000;20000;0;0;10000;0;30;
1744;220000;0,916666666666667;11;6;5;1;90;90;93;94;95;2;660;0,916666666666667;54745,4289487029;13,9718886628467;10000;0;0;0;0;30000;40000;50000;90000;24;
1745;100000;0,805555555555556;10;5;5;1;90;90;93;92;95;1;580;0,805555555555556;62931,9979665173;14,1289249462368;0;0;0;0;0;30000;20000;50000;0;13;
1746;180000;0,898333333333333;12;5;7;1;91;90;93;92;91;2;646,8;0,898333333333333;63042,0346706598;15,8564926404094;0;20000;0;10000;0;30000;20000;10000;90000;55;
1747;280000;0,919166666666667;10;5;5;1;93;93;95;95;93;2;661,8;0,919166666666667;55429,1241468702;14,2160893053703;0;0;0;30000;30000;50000;50000;30000;90000;33;
1748;50000;0,765833333333333;10;5;5;1;90;90;90;91;94;1;551,4;0,765833333333333;66234,4528948798;14,1525601366833;0;0;0;0;0;0;10000;40000;0;65;
1749;190000;0,910833333333333;10;5;5;1;90;90;95;92;93;2;655,8;0,910833333333333;53336,1978599988;13,5373340775924;0;0;0;0;0;50000;20000;30000;90000;12;
1750;180000;0,9025;10;5;5;1;90;91;93;92;93;2;649,8;0,9025;55794,470921529;14,0533675846286;0;0;0;0;10000;30000;20000;30000;90000;40;
1751;210000;0,914444444444444;10;5;5;1;91;91;94;93;93;2;658,4;0,914444444444444;53971,6287991591;13,7802484923833;0;0;0;10000;10000;40000;30000;30000;90000;20;
1752;190000;0,9075;11;5;6;1;90;90;95;93;91;2;653,4;0,9075;57032,9079668062;14,4529540476318;0;10000;0;0;0;50000;30000;10000;90000;28;
1753;150000;0,901944444444444;10;5;5;1;90;90;93;90;93;2;649,4;0,901944444444444;54697,4330359552;13,767660692194;0;0;0;0;0;30000;0;30000;90000;6;
1754;90000;0,833611111111111;14;5;9;1;90;91;90;91;93;1;600,2;0,833611111111111;77106,6645419179;18,0364147264864;0;40000;0;0;10000;0;10000;30000;0;22;
1755;70000;0,813888888888889;14;5;9;1;90;92;90;90;91;1;586;0,813888888888889;79715,1047761553;18,1625390086065;0;40000;0;0;20000;0;0;10000;0;33;
1756;140000;0,885277777777778;13;5;8;1;90;90;91;90;91;2;637,4;0,885277777777778;67459,3530877712;16,73788459259;0;30000;0;0;0;10000;0;10000;90000;53;
1757;60000;0,795833333333333;12;5;7;1;92;91;90;90;91;1;573;0,795833333333333;72942,2796137009;16,2300818531047;0;20000;0;20000;10000;0;0;10000;0;49;
1758;80000;0,784722222222222;10;5;5;1;90;90;93;93;92;1;565;0,784722222222222;64768,8387210945;14,1508645252036;0;0;0;0;0;30000;30000;20000;0;47;
1759;40000;0,784722222222222;10;5;5;1;94;90;90;90;90;1;565;0,784722222222222;65493,0544492724;14,3135845047204;0;0;0;40000;0;0;0;0;0;13;
1760;40000;0,771944444444445;10;5;5;1;93;91;90;90;90;1;555,8;0,771944444444445;66429,4648498352;14,275226230696;0;0;0;30000;10000;0;0;0;0;40;
1761;240000;0,923611111111111;10;5;5;1;92;90;95;94;94;2;665;0,923611111111111;51705,9012022492;13,3171610760613;0;0;0;20000;0;50000;40000;40000;90000;7;
1762;40000;0,778055555555556;11;6;5;1;90;90;93;90;90;1;560,2;0,778055555555556;70342,5909232655;15,243190848073;10000;0;0;0;0;30000;0;0;0;37;
1763;90000;0,818888888888889;12;5;7;1;90;92;91;91;93;1;589,6;0,818888888888889;70921,3024214624;16,2102337051446;0;20000;0;0;20000;10000;10000;30000;0;25;
1764;60000;0,804444444444445;12;5;7;1;90;91;90;93;90;1;579,2;0,804444444444445;72168,3898613896;16,2288476956283;0;20000;0;0;10000;0;30000;0;0;33;
1765;140000;0,881388888888889;14;5;9;1;91;90;90;90;90;2;634,6;0,881388888888889;71894,4020692403;17,7821978474992;0;40000;0;10000;0;0;0;0;90000;64;
1766;120000;0,879444444444444;10;5;5;1;92;90;90;91;90;2;633,2;0,879444444444444;58690,6268559227;14,3996909514784;0;0;0;20000;0;0;10000;0;90000;29;
1767;130000;0,888611111111111;12;5;7;1;90;90;90;91;91;2;639,8;0,888611111111111;64018,3407451588;15,9184896831957;0;20000;0;0;0;0;10000;10000;90000;23;
1768;60000;0,803888888888889;13;5;8;1;90;92;90;90;91;1;578,8;0,803888888888889;76570,3696052837;17,2524873166386;0;30000;0;0;20000;0;0;10000;0;35;
1769;250000;0,917222222222222;13;5;8;1;92;91;93;93;94;2;660,4;0,917222222222222;62192,3750584154;15,9695015181743;0;30000;0;20000;10000;30000;30000;40000;90000;35;
1770;220000;0,920833333333333;10;5;5;1;90;91;93;94;95;2;663;0,920833333333333;51097,6937144888;13,1079155703784;0;0;0;0;10000;30000;40000;50000;90000;7;
1771;60000;0,808055555555555;11;5;6;1;90;91;90;91;93;1;581,8;0,808055555555555;67579,9124154306;15,22514822202;0;10000;0;0;10000;0;10000;30000;0;14;
1772;120000;0,88;12;5;7;1;90;91;90;90;90;2;633,6;0,88;65504,0841283006;16,129691568853;0;20000;0;0;10000;0;0;0;90000;30;
1773;160000;0,892222222222222;15;5;10;1;90;90;91;90;91;2;642,4;0,892222222222222;71452,7724490016;17,9167878372546;0;50000;0;0;0;10000;0;10000;90000;55;
1774;80000;0,830555555555556;15;6;9;1;90;90;91;92;90;1;598;0,830555555555556;81980,9643119497;19,069381288107;10000;40000;0;0;0;10000;20000;0;0;23;
1775;70000;0,802777777777778;15;5;10;1;91;91;90;90;90;1;578;0,802777777777778;84333,4417876043;19,0897929798711;0;50000;0;10000;10000;0;0;0;0;56;
1776;60000;0,801111111111111;11;5;6;1;90;90;94;90;91;1;576,8;0,801111111111111;67817,9851660397;15,1591467521768;0;10000;0;0;0;40000;0;10000;0;22;
1777;150000;0,881111111111111;12;5;7;1;91;92;91;90;90;2;634,4;0,881111111111111;66221,7980059979;16,3292877115017;0;20000;0;10000;20000;10000;0;0;90000;69;
1778;220000;0,920555555555555;10;5;5;1;91;90;95;94;93;2;662,8;0,920555555555555;51015,7223816118;13,0936180516454;0;0;0;10000;0;50000;40000;30000;90000;9;
1779;70000;0,827222222222222;16;6;10;1;90;91;90;90;90;1;595,6;0,827222222222222;86650,5071218907;20,1199269426179;10000;50000;0;0;10000;0;0;0;0;16;
1780;80000;0,835;14;5;9;1;92;90;91;90;91;1;601,2;0,835;77293,4693498023;18,1517449758737;0;40000;0;20000;0;10000;0;10000;0;10;
1781;120000;0,778333333333333;10;5;5;2;90;90;91;91;90;1;560,4;0,778333333333333;60584,445623266;13,171704762178;0;0;100000;0;0;10000;10000;0;0;87;
1782;340000;0,927777777777778;14;5;9;1;94;92;95;95;95;2;668;0,927777777777778;64826,9871533965;16,8542176211504;0;40000;0;40000;20000;50000;50000;50000;90000;18;
1783;80000;0,804444444444444;10;5;5;1;90;90;93;91;94;1;579,2;0,804444444444444;63360,424836795;14,1894004366919;0;0;0;0;0;30000;10000;40000;0;3;
1784;80000;0,820555555555555;12;5;7;1;90;91;91;91;93;1;590,8;0,820555555555555;70437,9503102671;16,177484038291;0;20000;0;0;10000;10000;10000;30000;0;16;
1785;40000;0,786111111111111;10;5;5;1;91;90;90;91;92;1;566;0,786111111111111;65144,7741503486;14,2561821990164;0;0;0;10000;0;0;10000;20000;0;10;
1786;110000;0,853611111111111;15;5;10;1;90;90;94;90;92;1;614,6;0,853611111111111;79055,0106126854;18,9632570589871;0;50000;0;0;0;40000;0;20000;0;20;
1787;80000;0,8125;12;5;7;1;91;92;90;91;92;1;585;0,8125;71819,0363475703;16,2749349965517;0;20000;0;10000;20000;0;10000;20000;0;35;
1788;40000;0,786111111111111;10;5;5;1;91;90;90;91;92;1;566;0,786111111111111;65144,7741503486;14,2561821990164;0;0;0;10000;0;0;10000;20000;0;10;
1789;70000;0,8075;13;5;8;1;90;91;91;91;91;1;581,4;0,8075;75792,6980264637;17,1545296962059;0;30000;0;0;10000;10000;10000;10000;0;47;
1790;70000;0,810277777777778;14;7;7;1;90;90;90;91;92;1;583,4;0,810277777777778;80454,550413416;18,2249949148446;20000;20000;0;0;0;0;10000;20000;0;42;
1791;70000;0,8025;10;5;5;1;90;90;94;91;92;1;577,8;0,8025;63657,9588742502;14,201192588277;0;0;0;0;0;40000;10000;20000;0;5;
1792;240000;0,923888888888889;10;5;5;1;91;90;95;95;94;2;665,2;0,923888888888889;46973,5786726207;12,1274860099226;0;0;0;10000;0;50000;50000;40000;90000;6;
1793;70000;0,819166666666666;14;5;9;1;91;90;90;90;92;1;589,8;0,819166666666666;79036,5166380102;18,1726105170567;0;40000;0;10000;0;0;0;20000;0;23;
1794;170000;0,818333333333333;10;5;5;1;93;92;94;94;94;1;589,2;0,818333333333333;62333,3377269683;14,2190190096484;0;0;0;30000;20000;40000;40000;40000;0;71;
1795;140000;0,886666666666667;13;7;6;1;90;90;90;92;90;2;638,4;0,886666666666667;69081,8305943478;17,1165847557146;20000;10000;0;0;0;0;20000;0;90000;48;
1796;250000;0,918333333333333;14;5;9;1;90;90;94;94;94;2;661,2;0,918333333333333;54639,4050962387;14,0117231679595;0;40000;0;0;0;40000;40000;40000;90000;33;
1797;160000;0,891666666666667;10;5;5;1;93;91;90;91;92;2;642;0,891666666666667;57926,677444468;14,4175754584748;0;0;0;30000;10000;0;10000;20000;90000;50;
1798;80000;0,833333333333333;15;6;9;1;90;90;90;91;92;1;600;0,833333333333333;81228,8707585491;18,9851062916849;10000;40000;0;0;0;0;10000;20000;0;20;
1799;170000;0,900555555555556;10;5;5;1;91;91;93;92;91;2;648,4;0,900555555555556;56120,6928055628;14,1104324616159;0;0;0;10000;10000;30000;20000;10000;90000;37;
1800;290000;0,928055555555556;10;5;5;1;95;92;95;95;93;2;668,2;0,928055555555556;54163,5800530898;14,0201894401213;0;0;0;50000;20000;50000;50000;30000;90000;10;
1801;210000;0,912777777777778;11;5;6;1;90;90;93;93;95;2;657,2;0,912777777777778;52084,4237438045;13,2780372192703;0;10000;0;0;0;30000;30000;50000;90000;29;
1802;130000;0,769722222222222;10;5;5;2;90;90;90;93;90;1;554,2;0,769722222222222;61449,3309575549;13,1721165908009;0;0;100000;0;0;0;30000;0;0;92;
1803;40000;0,78;10;5;5;1;90;91;90;90;93;1;561,6;0,78;65381,7716155281;14,2225770577044;0;0;0;0;10000;0;0;30000;0;24;
1804;190000;0,808333333333333;10;5;5;1;92;94;95;93;95;1;582;0,808333333333333;63026,5613867697;14,1988354376949;0;0;0;20000;40000;50000;30000;50000;0;88;
1805;180000;0,796111111111111;10;5;5;1;92;93;95;95;93;1;573,2;0,796111111111111;63881,0473808982;14,1631025884619;0;0;0;20000;30000;50000;50000;30000;0;103;
1806;240000;0,923055555555556;10;5;5;1;90;90;95;95;95;2;664,6;0,923055555555556;46107,8021802092;11,8468645675784;0;0;0;0;0;50000;50000;50000;90000;9;
1807;240000;0,919444444444444;10;5;5;1;90;91;95;94;95;2;662;0,919444444444444;51784,2438301553;13,2659156014277;0;0;0;0;10000;50000;40000;50000;90000;21;
1808;190000;0,906111111111111;10;5;5;1;90;91;93;93;93;2;652,4;0,906111111111111;54804,7814229837;13,8622586295353;0;0;0;0;10000;30000;30000;30000;90000;33;
1809;40000;0,78;10;5;5;1;90;91;90;90;93;1;561,6;0,78;65381,7716155281;14,2225770577044;0;0;0;0;10000;0;0;30000;0;24;
1810;30000;0,798888888888889;11;5;6;1;92;90;90;90;90;1;575,2;0,798888888888889;68705,8667969281;15,2974671780876;0;10000;0;20000;0;0;0;0;0;2;
1811;120000;0,798333333333333;10;5;5;1;90;90;95;93;94;1;574,8;0,798333333333333;63385,9796676711;14,0565278215149;0;0;0;0;0;50000;30000;40000;0;52;
1812;60000;0,802777777777778;11;5;6;1;91;92;90;90;92;1;578;0,802777777777778;68259,8992802573;15,3130504714329;0;10000;0;10000;20000;0;0;20000;0;20;
1813;40000;0,78;10;5;5;1;90;91;90;90;93;1;561,6;0,78;65381,7716155281;14,2225770577044;0;0;0;0;10000;0;0;30000;0;24;
1814;50000;0,791944444444444;11;5;6;1;91;90;90;91;92;1;570,2;0,791944444444444;68954,8767821733;15,229877051518;0;10000;0;10000;0;0;10000;20000;0;37;
1815;70000;0,7875;10;5;5;1;90;90;93;92;92;1;567;0,7875;64465,7249225069;14,1563775651823;0;0;0;0;0;30000;20000;20000;0;35;
1816;60000;0,810833333333333;12;5;7;1;90;90;92;90;92;1;583,8;0,810833333333333;71282,0469265728;16,1891578439811;0;20000;0;0;0;20000;0;20000;0;17;
1817;110000;0,795277777777778;10;5;5;1;90;90;94;94;93;1;572,6;0,795277777777778;63495,4109578238;14,0866874470006;0;0;0;0;0;40000;40000;30000;0;48;
1818;280000;0,9175;13;5;8;1;94;91;93;94;94;2;660,6;0,9175;64164,2353883266;16,4868290873933;0;30000;0;40000;10000;30000;40000;40000;90000;41;
1819;80000;0,810833333333334;13;5;8;1;90;91;92;91;91;1;583,8;0,810833333333334;75605,1172038793;17,1477236645784;0;30000;0;0;10000;20000;10000;10000;0;54;
1820;50000;0,779444444444445;10;5;5;1;90;90;90;90;95;1;561,2;0,779444444444445;65218,2022292158;14,1798114299177;0;0;0;0;0;0;0;50000;0;31;
1821;110000;0,791111111111111;11;5;6;2;90;90;90;90;90;1;569,6;0,791111111111111;64424,6879173302;14,2124886448382;0;10000;100000;0;0;0;0;0;0;59;
1822;70000;0,833055555555556;13;5;8;1;90;91;90;91;92;1;599,8;0,833055555555556;74164,0456292132;17,2645994751414;0;30000;0;0;10000;0;10000;20000;0;3;
1823;130000;0,889722222222222;11;6;5;1;90;90;90;90;93;2;640,6;0,889722222222222;60431,8306358901;15,0069416457044;10000;0;0;0;0;0;0;30000;90000;17;
1824;50000;0,807777777777778;13;5;8;1;92;90;90;90;90;1;581,6;0,807777777777778;76457,2733863179;17,2845982589769;0;30000;0;20000;0;0;0;0;0;17;
1825;70000;0,8325;14;5;9;1;90;90;90;92;91;1;599,4;0,8325;77339,4921080821;18,0718665132131;0;40000;0;0;0;0;20000;10000;0;6;
1826;160000;0,902222222222222;10;5;5;1;90;90;92;92;93;2;649,6;0,902222222222222;54717,6175105565;13,7850522887124;0;0;0;0;0;20000;20000;30000;90000;15;
1827;80000;0,830555555555556;13;5;8;1;90;90;94;90;91;1;598;0,830555555555556;73738,4281303879;17,136278555326;0;30000;0;0;0;40000;0;10000;0;11;
1828;120000;0,886666666666667;10;5;5;1;91;90;92;90;90;2;638,4;0,886666666666667;57734,5419339686;14,2809848084642;0;0;0;10000;0;20000;0;0;90000;10;
1829;60000;0,804722222222222;12;5;7;1;90;90;92;91;91;1;579,4;0,804722222222222;71801,0415983512;16,1608475917092;0;20000;0;0;0;20000;10000;10000;0;32;
1830;270000;0,917222222222222;15;5;10;1;90;91;95;93;94;2;660,4;0,917222222222222;61080,4664499436;15,7249583235901;0;50000;0;0;10000;50000;30000;40000;90000;40;
1831;120000;0,793333333333333;11;6;5;1;90;91;93;92;95;1;571,2;0,793333333333333;68424,9698404578;15,1252857037335;10000;0;0;0;10000;30000;20000;50000;0;63;
1832;60000;0,804166666666667;11;5;6;1;90;92;90;91;92;1;579;0,804166666666667;68118,4274502792;15,262045493252;0;10000;0;0;20000;0;10000;20000;0;17;
1833;120000;0,819722222222222;11;5;6;1;90;90;94;93;94;1;590,2;0,819722222222222;65869,110131659;15,0563735245809;0;10000;0;0;0;40000;30000;40000;0;42;
1834;100000;0,837777777777778;15;5;10;1;90;91;90;94;90;1;603,2;0,837777777777778;81000,7576682552;19,0650297040208;0;50000;0;0;10000;0;40000;0;0;34;
1835;80000;0,773055555555556;10;5;5;1;90;90;94;93;91;1;556,6;0,773055555555556;65523,5966727035;14,1057987662547;0;0;0;0;0;40000;30000;10000;0;78;
1836;140000;0,804166666666667;10;5;5;1;91;91;94;94;94;1;579;0,804166666666667;63117,1284993006;14,1575422626801;0;0;0;10000;10000;40000;40000;40000;0;83;
1837;80000;0,791111111111111;10;5;5;1;90;91;94;91;92;1;569,6;0,791111111111111;64372,157696303;14,1808533167512;0;0;0;0;10000;40000;10000;20000;0;30;
1838;40000;0,78;10;5;5;1;90;91;90;90;93;1;561,6;0,78;65381,7716155281;14,2225770577044;0;0;0;0;10000;0;0;30000;0;24;
1839;220000;0,918611111111111;11;6;5;1;90;90;94;95;93;2;661,4;0,918611111111111;53811,2394651042;13,7510879995452;10000;0;0;0;0;40000;50000;30000;90000;19;
1840;70000;0,830833333333333;17;7;10;1;90;90;90;90;90;1;598,2;0,830833333333333;90685,4621030453;21,1266069768805;20000;50000;0;0;0;0;0;0;0;11;
1841;70000;0,789166666666667;10;5;5;1;90;91;91;94;91;1;568,2;0,789166666666667;64586,305480394;14,2022956632179;0;0;0;0;10000;10000;40000;10000;0;29;
1842;90000;0,797222222222222;10;5;5;1;90;90;92;93;94;1;574;0,797222222222222;63677,5040263651;14,1470796396458;0;0;0;0;0;20000;30000;40000;0;19;
1843;150000;0,789722222222222;10;5;5;1;92;93;93;94;93;1;568,6;0,789722222222222;64633,7380787926;14,2099327762443;0;0;0;20000;30000;30000;40000;30000;0;105;
1844;70000;0,833055555555556;13;5;8;1;90;91;90;91;92;1;599,8;0,833055555555556;74164,0456292132;17,2645994751414;0;30000;0;0;10000;0;10000;20000;0;3;
1845;180000;0,903611111111111;10;5;5;1;90;91;95;91;92;2;650,6;0,903611111111111;55250,0717809083;13,9344605339618;0;0;0;0;10000;50000;10000;20000;90000;37;
1846;80000;0,805277777777778;15;7;8;1;90;90;91;91;91;1;579,8;0,805277777777778;85022,4924644647;19,1699949815395;20000;30000;0;0;0;10000;10000;10000;0;62;
1847;230000;0,866944444444444;14;5;9;1;92;94;95;95;93;1;624,2;0,866944444444444;74130,2447913377;18,0248719744608;0;40000;0;20000;40000;50000;50000;30000;0;94;
1848;250000;0,917222222222222;14;5;9;1;90;90;95;93;94;2;660,4;0,917222222222222;55976,10737291;14,3758654929558;0;40000;0;0;0;50000;30000;40000;90000;37;
1849;220000;0,918055555555556;11;6;5;1;90;91;93;93;95;2;661;0,918055555555556;56123,0144771653;14,3664692086709;10000;0;0;0;10000;30000;30000;50000;90000;21;
1850;230000;0,918888888888889;11;5;6;1;91;91;93;94;94;2;661,6;0,918888888888889;54741,2105183008;14,0322256720964;0;10000;0;10000;10000;30000;40000;40000;90000;22;
1851;30000;0,789722222222222;13;6;7;1;90;90;90;90;90;1;568,6;0,789722222222222;78066,8303078243;17,2111109402088;10000;20000;0;0;0;0;0;0;0;7;
1852;220000;0,808611111111111;10;5;5;1;94;94;95;94;95;1;582,2;0,808611111111111;63153,2459171575;14,2384019344309;0;0;0;40000;40000;50000;40000;50000;0;88;
1853;80000;0,797777777777778;13;5;8;1;90;91;90;92;92;1;574,4;0,797777777777778;76550,727660922;17,1003538224584;0;30000;0;0;10000;0;20000;20000;0;68;
1854;100000;0,839722222222222;14;5;9;1;90;90;93;90;93;1;604,6;0,839722222222222;76692,4006866632;18,0405139133977;0;40000;0;0;0;30000;0;30000;0;19;
1855;40000;0,790833333333333;11;5;6;1;90;90;91;92;90;1;569,4;0,790833333333333;68415,392319301;15,1633128896846;0;10000;0;0;0;10000;20000;0;0;18;
1856;230000;0,920833333333333;10;5;5;1;90;91;95;93;95;2;663;0,920833333333333;51245,9101519431;13,1577816382124;0;0;0;0;10000;50000;30000;50000;90000;13;
1857;80000;0,826944444444444;14;5;9;1;90;92;90;91;91;1;595,4;0,826944444444444;78503,7215146567;18,178552576774;0;40000;0;0;20000;0;10000;10000;0;24;
1858;100000;0,851111111111111;15;5;10;1;90;90;93;92;90;1;612,8;0,851111111111111;79105,7757362054;18,9297132921267;0;50000;0;0;0;30000;20000;0;0;8;
1859;20000;0,773333333333333;11;6;5;1;91;90;90;90;90;1;556,8;0,773333333333333;70873,7334604837;15,2823433168719;10000;0;0;10000;0;0;0;0;0;7;
1860;60000;0,796111111111111;11;5;6;1;90;90;91;93;91;1;573,2;0,796111111111111;68233,4737722124;15,1496564222861;0;10000;0;0;0;10000;30000;10000;0;34;
1861;320000;0,921944444444444;14;5;9;1;94;93;94;94;94;2;663,8;0,921944444444444;67645,2073440517;17,5019137791052;0;40000;0;40000;30000;40000;40000;40000;90000;35;
1862;60000;0,780833333333333;10;5;5;1;90;90;93;91;92;1;562,2;0,780833333333333;65229,6610513979;14,176745329472;0;0;0;0;0;30000;10000;20000;0;46;
1863;120000;0,878333333333333;10;5;5;1;92;91;90;90;90;2;632,4;0,878333333333333;58952,60987406;14,4477351025879;0;0;0;20000;10000;0;0;0;90000;31;
1864;270000;0,909444444444444;14;5;9;1;93;92;93;93;93;2;654,8;0,909444444444444;68434,5807399961;17,4494634650381;0;40000;0;30000;20000;30000;30000;30000;90000;60;
1865;70000;0,8125;13;5;8;1;90;92;90;90;92;1;585;0,8125;76314,6001844055;17,2902873396298;0;30000;0;0;20000;0;0;20000;0;37;
1866;90000;0,842222222222222;15;5;10;1;90;91;90;90;93;1;606,4;0,842222222222222;80683,9894471294;19,096926971893;0;50000;0;0;10000;0;0;30000;0;9;
1867;130000;0,781111111111111;10;5;5;2;90;90;93;90;90;1;562,4;0,781111111111111;60413,969069622;13,1594005012981;0;0;100000;0;0;30000;0;0;0;89;
1868;140000;0,890833333333334;10;5;5;1;90;92;91;90;92;2;641,4;0,890833333333334;57356,0446719582;14,2632369760023;0;0;0;0;20000;10000;0;20000;90000;30;
1869;120000;0,8825;13;8;5;1;90;90;90;90;90;2;635,4;0,8825;70308,5498652815;17,3181336842738;30000;0;0;0;0;0;0;0;90000;27;
1870;70000;0,778333333333333;10;5;5;1;90;90;92;92;93;1;560,4;0,778333333333333;65261,6099261526;14,1702090493988;0;0;0;0;0;20000;20000;30000;0;62;
1871;120000;0,819166666666667;13;5;8;1;91;92;92;92;92;1;589,8;0,819166666666667;74977,4060348585;17,1699008929312;0;30000;0;10000;20000;20000;20000;20000;0;53;
1872;70000;0,812222222222222;13;5;8;1;90;90;90;92;92;1;584,8;0,812222222222222;75144,8384818952;17,1114029832653;0;30000;0;0;0;0;20000;20000;0;38;
1873;150000;0,888055555555556;11;5;6;1;91;91;91;91;91;2;639,4;0,888055555555556;61482,7361228469;15,2571476495761;0;10000;0;10000;10000;10000;10000;10000;90000;59;
1874;80000;0,804722222222222;12;5;7;1;92;91;90;91;92;1;579,4;0,804722222222222;72079,3048650662;16,2235023687402;0;20000;0;20000;10000;0;10000;20000;0;53;
1875;200000;0,912222222222222;11;5;6;1;90;90;95;93;92;2;656,8;0,912222222222222;54667,7109647138;13,8953981841716;0;10000;0;0;0;50000;30000;20000;90000;22;
1876;70000;0,819722222222222;13;5;8;1;92;90;90;91;91;1;590,2;0,819722222222222;74993,6829337351;17,2393542035953;0;30000;0;20000;0;0;10000;10000;0;21;
1877;310000;0,923888888888889;12;7;5;1;93;93;95;95;94;2;665,2;0,923888888888889;62264,4374162446;16,0582997078834;20000;0;0;30000;30000;50000;50000;40000;90000;27;
1878;280000;0,918055555555556;10;5;5;1;94;93;94;93;95;2;661;0,918055555555556;55515,9907632082;14,223683907531;0;0;0;40000;30000;40000;30000;50000;90000;36;
1879;80000;0,825277777777778;17;7;10;1;90;91;90;90;90;1;594,2;0,825277777777778;90954,9133863124;21,1166353078217;20000;50000;0;0;10000;0;0;0;0;33;
1880;260000;0,903888888888889;10;5;5;2;90;90;95;90;92;2;650,8;0,903888888888889;52432,6406045715;13,233966602252;0;0;100000;0;0;50000;0;20000;90000;63;
1881;230000;0,847222222222222;14;5;9;1;93;93;94;94;95;1;610;0,847222222222222;76534,040221781;18,1411317853232;0;40000;0;30000;30000;40000;40000;50000;0;105;
1882;310000;0,916666666666667;10;5;5;2;90;90;95;94;93;2;660;0,916666666666667;51034,0992219392;13,0467601975971;0;0;100000;0;0;50000;40000;30000;90000;43;
1883;220000;0,912222222222222;12;5;7;1;90;92;92;92;95;2;656,8;0,912222222222222;58949,2338938422;15,0534922522119;0;20000;0;0;20000;20000;20000;50000;90000;43;
1884;290000;0,929166666666666;12;5;7;1;93;91;95;95;94;2;669;0,929166666666666;55736,5905165208;14,4786703985726;0;20000;0;30000;10000;50000;50000;40000;90000;10;
1885;50000;0,815277777777778;12;5;7;1;90;92;91;90;90;1;587;0,815277777777778;71340,932578675;16,2614911659469;0;20000;0;0;20000;10000;0;0;0;4;
1886;220000;0,918611111111111;10;5;5;1;91;91;93;93;95;2;661,4;0,918611111111111;53248,3828269482;13,6385666167064;0;0;0;10000;10000;30000;30000;50000;90000;18;
1887;80000;0,811111111111111;13;5;8;1;90;91;91;91;92;1;584;0,811111111111111;75668,1293787072;17,1958241795549;0;30000;0;0;10000;10000;10000;20000;0;53;
1888;140000;0,806111111111111;12;5;7;1;90;90;95;93;94;1;580,4;0,806111111111111;70907,4709185905;16,0302942658507;0;20000;0;0;0;50000;30000;40000;0;90;
1889;50000;0,809722222222222;12;5;7;1;90;91;90;92;90;1;583;0,809722222222222;72025,725711356;16,2771391742818;0;20000;0;0;10000;0;20000;0;0;12;
1890;200000;0,906388888888889;10;5;5;1;93;90;93;92;93;2;652,6;0,906388888888889;55600,2740911406;14,0508085781965;0;0;0;30000;0;30000;20000;30000;90000;43;
1891;150000;0,892222222222222;12;5;7;1;90;90;91;91;92;2;642,4;0,892222222222222;63512,9969266855;15,8514588990803;0;20000;0;0;0;10000;10000;20000;90000;43;
1892;110000;0,835833333333333;14;5;9;1;90;90;94;91;92;1;601,8;0,835833333333333;76939,7970012045;17,9762567348198;0;40000;0;0;0;40000;10000;20000;0;42;
1893;180000;0,904444444444444;12;5;7;1;90;90;93;92;92;2;651,2;0,904444444444444;58787,4061578586;14,869437792567;0;20000;0;0;0;30000;20000;20000;90000;35;
1894;130000;0,7925;10;5;5;1;91;91;93;94;94;1;570,6;0,7925;64027,5256024119;14,1422515223632;0;0;0;10000;10000;30000;40000;40000;0;80;
1895;40000;0,792222222222222;14;7;7;1;90;90;90;90;90;1;570,4;0,792222222222222;82489,0487569509;18,2451863725483;20000;20000;0;0;0;0;0;0;0;19;
1896;260000;0,917777777777778;10;5;5;1;93;92;95;94;93;2;660,8;0,917777777777778;55097,9871378691;14,1022935134668;0;0;0;30000;20000;50000;40000;30000;90000;35;
1897;50000;0,775277777777778;11;6;5;1;90;91;91;90;92;1;558,2;0,775277777777778;70319,8389632693;15,203851769997;10000;0;0;0;10000;10000;0;20000;0;66;
