Iteration;O1Time;O2Power;O3Energy;O4Area;velmax;veloverride;acclimit;ramplimit;dr;dz;InBanaWOdr;InBanaWOrz;InBanaWOdrz;UtBanaWOdr;UtBanaWOrz;UtBanaWOdrz;OP1WOdr;OP1WOrz;OP1WOdrz;OP2WOdr;OP2WOrz;OP2WOdrz;OP3WOdr;OP3WOrz;OP3WOdrz;Time;Power;Energy;Area;Error;Replications;ConstraintViolation
73;95.04;903.9962158;20819.11719;37.95416963;347;100;14;92;0.394545754;-0.292897542;-0.077987154;-0.224043834;0.104528921;-0.037712791;0.498944719;0.455421923;0.147736772;0.997401143;-0.02809598;0.14137239;0.091675658;-0.099322046;-0.065025159;-0.44227702;-0.109780962;95.04;903.9962158;20819.11719;37.95416963;0;1;0
77;66.744;3052.023438;25049.21289;31.43996974;749;100;75;87;0.355183015;-0.289704242;-0.461628662;-0.190958757;0.249339846;-0.368578838;0.371720541;0.249110847;-0.223050813;2.497300534;0.154539562;0.043745333;-1.578667745;0.012113006;-0.106416997;-1.761790196;0.107525513;66.744;3052.023438;25049.21289;31.43996974;0;1;0
78;106.512;783.4049683;20677.20508;35.60373158;280;100;14;67;0.394740236;-0.297188395;-0.342625855;-0.245981193;-0.019363954;0.045121486;0.478136057;0.48512172;0.148131269;0.947307812;-0.094352694;0.171695616;0.093487806;-0.099743877;0.004551051;-0.666813318;-0.705847869;106.512;783.4049683;20677.20508;35.60373158;0;1;0
83;64.44;3614.999756;26132.04688;31.26159833;766;100;75;100;0.233318084;-0.294631749;-0.495933214;-0.264190264;0.318743171;-0.368573132;0.368068107;0.249384666;-0.224943383;2.497287957;0.151086801;-0.163339744;-1.577785641;0.007246257;-0.131414414;-2.105872524;-0.040086482;64.44;3614.999756;26132.04688;31.26159833;0;1;0
105;93.408;1703.112549;22407.04102;30.54590339;353;100;81;92;0.346234597;-0.24211595;-0.499868615;-0.297526555;0.253884487;-0.426952797;0.368057939;0.249104375;-0.252937118;2.497276591;0.154652645;0.178701794;-1.571386029;0.012351156;-0.007067225;-1.671635581;0.544864293;93.408;1703.112549;22407.04102;30.54590339;0;1;0
109;103.992;1001.568848;22065.71484;31.15416066;329;80;17;100;0.355590099;-0.258208228;-0.479570063;-0.284124235;0.277341155;-0.368578838;0.370784186;0.296127832;-0.167154863;2.499319273;0.154822896;0.087051219;-1.567504402;0.004919907;0.099880423;-2.113265662;0.47184216;103.992;1001.568848;22065.71484;31.15416066;0;1;0
110;70.056;3418.779053;25875.10742;30.54935571;829;100;25;100;0.346234597;-0.243251621;-0.499694089;-0.296202696;0.253884487;-0.426952797;0.368057939;0.249104375;-0.252937118;2.49726594;0.154652645;0.178701794;-1.571386029;0.012351156;-0.007067225;-1.712339448;0.552793507;70.056;3418.779053;25875.10742;30.54935571;0;1;0
111;61.488;3771.979492;24610.48242;34.04498155;821;100;51;99;0.396243178;-0.2925013;0.078799231;-0.261485028;-0.372100732;0.192809866;0.476721236;0.22135555;0.193215677;1.026531436;-0.12909336;-0.042127084;0.108770853;-0.138833539;0.005221553;-0.563549275;-0.783749328;61.488;3771.979492;24610.48242;34.04498155;0;1;0
114;61.824;3537.760742;24190.25;35.02851155;821;100;51;99;0.39758761;-0.2925013;0.078799231;-0.246015928;-0.368555631;0.192809866;0.477457513;0.22135555;0.192312448;1.0265862;-0.09199923;0.032100294;0.108770853;-0.138833539;-0.102231915;-0.565800542;-0.288564175;61.824;3537.760742;24190.25;35.02851155;0;1;0
118;59.928;4328.432617;24566.72852;34.59038375;832;100;91;93;0.399861003;-0.255099427;0.016701101;-0.228495483;-0.411494882;0.05209155;0.485118805;0.441293977;0.197647975;0.951620215;-0.109919615;-0.020874238;0.090623892;-0.099899569;0.010699066;-0.636800399;-0.371604819;59.928;4328.432617;24566.72852;34.59038375;0;1;0
120;66.696;3060.083008;25183.30078;32.04604693;749;99;76;74;0.355183015;-0.289704242;-0.461628662;-0.140433422;0.249339846;-0.368578838;0.371720541;0.249110847;-0.223050813;2.497300534;0.154539562;0.043745333;-1.578667745;0.012113006;-0.106416997;-2.240613977;-0.506757948;66.696;3060.083008;25183.30078;32.04604693;0;1;0
121;96.696;944.0605469;20006.22266;34.36818649;328;99;12;98;0.396153862;-0.281296187;-0.457421277;-0.463766364;0.348431534;-0.146829517;0.4884256;0.483374093;0.157533348;1.026766182;-0.092372985;0.165196159;0.09105914;-0.100574072;0.004717819;-0.444382412;-0.646449903;96.696;944.0605469;20006.22266;34.36818649;0;1;0
123;83.76;1165.25769;20490.72656;37.7740113;421;100;13;98;0.395474785;-0.295367303;-0.057444441;-0.235129185;0.146256993;0.08250925;0.489575097;0.379781938;0.187344024;0.990653864;-0.079980493;0.194875891;0.231300012;-0.100514608;0.02722695;-0.42201931;-0.641869986;83.76;1165.25769;20490.72656;37.7740113;0;1;0
124;68.424;2621.134766;24607.44141;32.06075958;675;100;75;92;0.368277261;-0.269324894;-0.496619168;-0.264301656;0.268618712;-0.36864945;0.370781809;0.249163972;-0.239624989;2.49847933;0.156138703;0.086884028;-1.605152202;0.004466529;-0.131414414;-2.001244945;-0.042197197;68.424;2621.134766;24607.44141;32.06075958;0;1;0
126;63.096;3674.990967;26800.6875;31.08561047;969;100;39;100;0.168454177;-0.29857344;-0.496142407;-0.312932446;0.229442533;-0.371999743;0.368032443;0.249106853;-0.225275172;2.498257546;0.154442377;-0.152775378;-1.577785641;0.012127864;-0.131414414;-2.105872524;-0.063683689;63.096;3674.990967;26800.6875;31.08561047;0;1;0
137;125.165;611.4673462;21275.51953;36.42281758;233;100;14;87;0.39541811;-0.29417959;-0.443320211;-0.245981193;0.380224774;-0.156043538;0.488918622;0.483374093;0.148269837;1.02778736;-0.02743501;0.17218196;0.129602659;-0.099743877;0.004551051;-0.444503026;-0.705847869;125.165;611.4673462;21275.51953;36.42281758;0;1;0
139;62.088;3706.335205;25063.06445;34.84017681;821;100;50;100;0.396243178;-0.295614602;0.129806745;-0.281557127;-0.4118257;0.190141849;0.477688089;0.495287959;0.193215677;1.041089008;-0.132271622;0.171289544;0.090292706;-0.112549217;0.005221553;-0.563549275;0.307256317;62.088;3706.335205;25063.06445;34.84017681;0;1;0
