Iteration;minWIP;minPayOff;maxTP;S1_ActiveNum;S3_ActiveNum;B1_Capacity;B3_Capacity;B4_Capacity;B5_Capacity;B2_Capacity;N2;M3;M6;PartsProduced;Throughput;LeadTime;WIP;TwoOld;OneNew;ParallelMCost;TwoSlow;ThreeSlow;TwoFast;NumBuffers;Replications;ConstraintViolation;Iteration;Rank;
31;27,7522632056425;19,5030430693231;1,26904761904762;2;3;14;49;49;46;11;1;1;2;213,2;1,26904761904762;78713,1380889532;27,7522632056425;0;1;500000;0;0;1;169;10;0;31;57;
32;71,4666071458171;4,7634924801635;4,87380952380952;1;3;26;14;3;21;19;6;1;2;818,8;4,87380952380952;52691,5435918442;71,4666071458171;1;0;250000;0;0;1;83;10;0;32;21;
33;53,77069747251;18,6515821780602;1,27380952380952;2;3;30;49;3;49;21;1;2;2;214;1,27380952380952;148098,54545489;53,77069747251;0;1;500000;0;0;1;152;10;0;33;60;
34;110,046424615161;7,63134148407967;2,89285714285714;2;1;35;26;23;13;21;3;2;2;486;2,89285714285714;129142,726879755;110,046424615161;0;1;250000;1;0;0;118;10;0;34;35;
35;42,1700904773108;17,3145868249294;1,26845238095238;1;2;5;27;35;31;33;1;1;2;213,1;1,26845238095238;117571,331341018;42,1700904773108;1;0;500000;0;1;0;131;10;0;35;59;
36;49,7519814993697;17,3280265310957;1,27083333333333;2;3;20;18;46;11;27;1;2;1;213,5;1,27083333333333;137260,695833721;49,7519814993697;0;1;500000;0;0;1;122;10;0;36;60;
37;71,7189084367815;9,07773952667185;2,52559523809524;1;3;43;12;46;4;23;2;1;1;424,3;2,52559523809524;101557,662690469;71,7189084367815;1;0;500000;0;0;1;128;10;0;37;47;
38;141,557115781537;7,59051677929007;4,7702380952381;2;2;36;42;40;4;18;5;1;1;801,4;4,7702380952381;100860,21444392;141,557115781537;0;1;500000;0;1;0;140;10;0;38;31;
39;89,3333050161229;8,4323957062837;2,66666666666666;1;1;27;14;2;11;36;6;2;2;448;2,66666666666666;116316,623358644;89,3333050161229;1;0;250000;1;0;0;90;10;0;39;38;
40;54,6030952406094;11,1020646297898;2,54464285714286;2;2;40;47;22;33;9;2;2;1;427,5;2,54464285714286;77319,5182274285;54,6030952406094;0;1;500000;0;1;0;151;10;0;40;43;
41;56,089902149125;8,33685593802797;3,82142857142857;2;2;8;46;36;35;39;3;1;1;642;3,82142857142857;53018,1601050508;56,089902149125;0;1;500000;0;1;0;164;10;0;41;30;
42;99,4510619391347;9,34586230773442;3,12083333333333;1;1;14;23;42;17;11;5;1;2;524,3;3,12083333333333;109912,596672304;99,4510619391347;1;0;500000;1;0;0;107;10;0;42;37;
43;86,7498260258504;18,8697370631166;1,27916666666667;2;3;43;5;33;37;41;1;1;1;214,9;1,27916666666667;222441,450919221;86,7498260258504;0;1;500000;0;0;1;159;10;0;43;60;
44;111,584180538417;7,16073187230188;4,71369047619048;2;2;34;16;49;22;26;4;1;1;791,9;4,71369047619048;81010,4244449424;111,584180538417;0;1;500000;0;1;0;147;10;0;44;33;
45;132,451238921894;10,7079067923993;3,14285714285714;2;1;49;23;29;21;23;5;1;2;528;3,14285714285714;144019,409473285;132,451238921894;0;1;500000;1;0;0;145;10;0;45;38;
46;54,7748155340917;5,33840931811287;3,94107142857143;1;2;20;20;1;28;21;3;2;1;662,1;3,94107142857143;49371,159587395;54,7748155340917;1;0;250000;0;1;0;90;10;0;46;22;
47;86,3246584814614;6,52197058902074;4,75535714285714;1;2;24;32;14;50;19;4;1;2;798,9;4,75535714285714;63187,6045059987;86,3246584814614;1;0;500000;0;1;0;139;10;0;47;30;
48;92,9924366602578;8,66106321916692;2,90357142857143;1;1;46;39;1;49;1;3;1;2;487,8;2,90357142857143;109502,853326675;92,9924366602578;1;0;500000;1;0;0;136;10;0;48;36;
49;85,222030301725;8,79122633852278;3,12857142857143;2;1;5;28;16;10;29;4;1;1;525,6;3,12857142857143;95171,8629017537;85,222030301725;0;1;500000;1;0;0;88;10;0;49;36;
50;28,7623072837852;16,4083883191427;1,27559523809524;2;3;5;25;3;49;21;1;2;2;214,3;1,27559523809524;81135,7561857708;28,7623072837852;0;1;500000;0;0;1;103;10;0;50;56;
51;71,9697179456108;5,99356590139899;5,11428571428571;2;3;30;49;13;2;29;4;2;2;859,2;5,11428571428571;50646,832169032;71,9697179456108;0;1;500000;0;0;1;123;10;0;51;26;
52;64,8261981285038;6,11445333249207;3,98452380952381;2;2;25;33;1;28;21;3;2;2;669,4;3,98452380952381;57533,4324418992;64,8261981285038;0;1;250000;0;1;0;108;10;0;52;29;
53;90,0409440544102;6,03955917691416;4,67023809523809;1;2;20;20;8;4;38;4;1;1;784,6;4,67023809523809;68159,3464272274;90,0409440544102;1;0;500000;0;1;0;90;10;0;53;29;
54;56,089902149125;8,33685593802797;3,82142857142857;2;2;8;46;36;35;39;3;1;1;642;3,82142857142857;53018,1601050508;56,089902149125;0;1;500000;0;1;0;164;10;0;54;30;
55;170,070909548527;7,16377723650009;4,3672619047619;1;2;49;19;46;34;46;6;2;2;733,7;4,3672619047619;129987,760840149;170,070909548527;1;0;250000;0;1;0;194;10;0;55;35;
56;121,336560821643;6,82874852085171;4,79166666666667;1;2;5;42;35;4;33;5;1;1;805;4,79166666666667;86336,4265568434;121,336560821643;1;0;500000;0;1;0;119;10;0;56;29;
