Iteration;O1Time;O2Power;O3Energy;O4Area;velmax;veloverride;acclimit;ramplimit;dr;dz;InBanaWOdr;InBanaWOrz;InBanaWOdrz;UtBanaWOdr;UtBanaWOrz;UtBanaWOdrz;OP1WOdr;OP1WOrz;OP1WOdrz;OP2WOdr;OP2WOrz;OP2WOdrz;OP3WOdr;OP3WOrz;OP3WOdrz;Time;Power;Energy;Area;Error;Replications;ConstraintViolation
50069;91.2;1156.123413;22355.86914;54.35496288;417;97;19;100;0.332757598;-0.296038207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91.2;1156.123413;22355.86914;54.35496288;0;1;0
50070;69.144;3219.333984;25015.07617;54.35496288;716;100;88;93;0.305651875;-0.297740294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69.144;3219.333984;25015.07617;54.35496288;0;1;0
50072;65.352;3891.187988;27166.71094;54.35496288;987;100;43;100;0.194251828;-0.181385719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65.352;3891.187988;27166.71094;54.35496288;0;1;0
50074;74.76;2527.209961;23827.69531;54.35496288;573;100;69;67;0.333484285;-0.292765714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74.76;2527.209961;23827.69531;54.35496288;0;1;0
50075;76.608;2106.835449;23408.23047;54.35496288;659;96;30;97;0.332757598;-0.286068382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76.608;2106.835449;23408.23047;54.35496288;0;1;0
50076;83.64;1377.449219;22955.91797;54.35496288;494;97;16;99;0.332757598;-0.289372718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83.64;1377.449219;22955.91797;54.35496288;0;1;0
50080;71.352;2946.15625;24449.27344;54.35496288;634;100;100;100;0.322533755;-0.281901816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71.352;2946.15625;24449.27344;54.35496288;0;1;0
50081;116.304;788.621521;21603.81055;54.35496288;283;100;12;96;0.361217324;-0.269032843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116.304;788.621521;21603.81055;54.35496288;0;1;0
50082;66.384;3519.641846;26376.80469;54.35496288;931;100;43;99;0.226541424;-0.26123418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.384;3519.641846;26376.80469;54.35496288;0;1;0
50084;72.456;2929.838867;24232.20313;54.35496288;623;100;94;67;0.333484285;-0.28566494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.456;2929.838867;24232.20313;54.35496288;0;1;0
